Video Name,Deformation,Shake,Blur,Exposure,MOS,Width,Height,Frame,Description
A_4.mp4,1.571,3,2.857,1.571,5.042857143,1280,720,30,The video has moderate blur on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
A_40.mp4,1.357,1.571,3,1.857,5.84,1920,1080,30,The video has moderate exposure on the top of the video frame during the entire of the time and has serious blur during the entire of the time.
A_41.mp4,2,1.857,1.429,1.143,7.028571429,1920,1080,30,The video has slight deformation on the middle of the video frame during the entire of the time and has slight shake during the entire of the time.
A_42.mp4,2.786,1.5,2.143,1.786,5.6,1920,1080,30,The video has slight deformation on the whole of the video frame during the entire of the time and has slight blur during the latter half of the time.
A_43.mp4,1.571,2,3.571,1.214,4.214285714,1280,720,30,The video has serious blur on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
A_44.mp4,1.429,2,3.5,1.571,4.4,1280,720,30,The video has serious blur on the whole of the video frame during the entire of the time and has slight shake during the latter half of the time.
A_45.mp4,1.571,1.786,1.714,1.929,6.55,1920,1080,30,The video has moderate exposure on the top right corner of the video frame during the entire of the time and has slight shake during the entire of the time.
A_46.mp4,1.786,1.786,2.857,1.214,5.616666667,1920,1080,30,The video has without deformation on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
A_47.mp4,1.5,1.571,1.643,2,6.3,1920,1080,30,The video has slight exposure on the top of the video frame during the entire of the time and has slight blur during the latter half of the time.
A_49.mp4,1.286,1.429,1.071,1.143,8.225,1920,1080,30,The video has without deformation on the whole of the video frame during the entire of the time and has without blur during the entire of the time.
A_5.mp4,2,2.929,2.214,2.357,4.8875,1280,720,30,The video has slight exposure on the top of the video frame during the first half of the time and has moderate shake during the entire of the time.
A_50.mp4,1.643,1.857,2.143,1.571,6.325,2560,1440,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
A_7.mp4,2.214,1.857,1.357,1.071,7.0625,1280,720,60,The video has slight deformation on the right side of the video frame during the entire of the time and has slight shake during the entire of the time.
B_1.mp4,2.929,4.071,3,2.286,3.157142857,1280,720,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has serious shake during the entire of the time.
B_10.mp4,1.571,2.286,2,1.5,6.557142857,1920,1080,30,The video has slight shake on the whole of the video frame during the latter half of the time and has slight blur during the entire of the time.
B_11.mp4,2.357,2.786,1.929,1.357,4.9,1920,1080,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
B_12.mp4,2,2.214,1.786,1.429,5.175,1920,1080,30,The video has slight deformation on the whole of the video frame during the first half of the time and has slight shake during the entire of the time.
B_13.mp4,2.286,2.786,2,1.5,4.757142857,1920,1080,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
B_16.mp4,1.5,2.071,2.214,1.429,6.133333333,1920,1080,60,The video has slight shake on the whole of the video frame during the latter half of the time and has slight blur during the entire of the time.
B_17.mp4,2,2.571,2.143,1.786,4.766666667,1920,1080,30,The video has slight deformation on the middle of the video frame during the first half of the time and has moderate shake during the entire of the time.
B_2.mp4,3.214,4.5,3,2.5,3.5,1280,720,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has extreme shake during the entire of the time.
B_20.mp4,1.571,2.429,1.929,3.071,5.225,2560,1440,30,The video has serious exposure on the both sides of the video frame during the entire of the time and has slight shake during the first half of the time.
B_21.mp4,1.857,2.214,2.214,3.429,4.12,2560,1440,30,The video has serious exposure on the top of the video frame during the entire of the time and has slight blur during the entire of the time.
B_23.mp4,2.357,2.357,2,1.357,4.8,2560,1440,30,The video has slight deformation on the right side of the video frame during the latter half of the time and has slight shake during the latter half of the time.
B_24.mp4,1.571,2.143,2.429,3.286,3.833333333,2560,1440,30,The video has serious exposure on the top of the video frame during the entire of the time and has moderate blur during the entire of the time.
B_25.mp4,3.214,2.143,1.714,1.143,5,2560,1440,30,The video has serious deformation on the left side of the video frame during the entire of the time and has slight shake during the entire of the time.
B_27.mp4,2.429,2.357,1.643,1.286,6.066666667,1920,1080,30,The video has moderate deformation on the left side of the video frame during the first half of the time and has moderate shake during the entire of the time.
B_28.mp4,2.643,1.714,1.286,1,5.625,1920,1080,30,The video has moderate deformation on the both sides of the video frame during the entire of the time and has slight shake during the entire of the time.
B_30.mp4,2.571,2.643,1.214,1.643,5.825,1920,1080,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has slight shake during the first half of the time.
B_31.mp4,2.571,2.286,1.286,1.214,6.2,1920,1080,30,The video has moderate deformation on the whole of the video frame during the latter half of the time and has slight shake during the entire of the time.
B_32.mp4,2.357,2.714,2,1.071,5.22,2560,1440,30,The video has slight deformation on the middle of the video frame during the entire of the time and has slight shake during the latter half of the time.
B_34.mp4,1.857,1.929,2.286,2.071,5,1920,1080,30,The video has slight exposure on the top of the video frame during the entire of the time and has slight blur during the entire of the time.
B_35.mp4,3.643,2.071,2.071,1.929,4.36,1920,1080,30,The video has serious deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
B_36.mp4,1.429,1,1.286,1.571,7.914285714,1920,1080,30,The video has slight exposure on the top of the video frame during the entire of the time and has without shake during the entire of the time.
B_37.mp4,2.357,1.071,1.214,1.429,7.266666667,1920,1080,30,The video has slight deformation on the both sides of the video frame during the entire of the time and has slight exposure during the entire of the time.
B_4.mp4,2.071,2.857,1.5,1.143,5.3,2560,1440,30,The video has moderate shake on the whole of the video frame during the latter half of the time and has slight deformation during the entire of the time.
B_7.mp4,2,1.857,1.286,1.214,7.066666667,2560,1440,30,The video has slight deformation on the both sides of the video frame during the latter half of the time and has slight shake during the latter half of the time.
B_8.mp4,1.857,1.571,1.429,1.214,6.9875,2560,1440,30,The video has slight deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
C_10.mp4,1.714,4.643,3,1.929,1.975,1920,1080,30,The video has extreme shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
C_12.mp4,1.786,3.857,2.714,2.714,2.371428571,1920,1080,30,The video has serious shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
C_13.mp4,2.143,3.714,2.643,2.214,3.271428571,1920,1080,30,The video has serious shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
C_14.mp4,2.714,4.143,3.643,2.5,2.666666667,1280,720,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has serious blur during the entire of the time.
C_15.mp4,2.571,3.429,2.714,1.786,3.75,1920,1080,30,The video has serious shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
C_16.mp4,2.429,3.357,1.429,1.357,4.933333333,1920,1080,30,The video has slight deformation on the middle of the video frame during the first half of the time and has serious shake during the latter half of the time.
C_17.mp4,2.286,3.714,1.857,1.857,4.375,1920,1080,30,The video has slight deformation on the right side of the video frame during the latter half of the time and has serious shake during the entire of the time.
C_18.mp4,2.429,3.286,2.714,2.357,3.85,1920,1080,30,The video has moderate shake on the whole of the video frame during the latter half of the time and has moderate blur during the entire of the time.
C_19.mp4,1.857,3.286,3.714,1.643,2.66,1920,1080,30,The video has moderate blur on the whole of the video frame during the latter half of the time and has moderate shake during the entire of the time.
C_2.mp4,2.429,1.214,1.714,2.143,5.557142857,1920,1080,30,The video has moderate exposure on the right side of the video frame during the entire of the time and has moderate deformation during the entire of the time.
C_20.mp4,1.643,2.5,3.357,1.786,3.82,1920,1080,30,The video has moderate blur on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
C_21.mp4,2.357,3.071,2.143,1.429,4.8,1280,720,30,The video has slight deformation on the right side of the video frame during the entire of the time and has moderate shake during the latter half of the time.
C_22.mp4,1.714,3.214,2.429,1.643,4.8,1280,720,30,The video has moderate shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
C_23.mp4,1.929,3.429,2.714,1.357,4.566666667,1920,1080,30,The video has moderate shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
C_25.mp4,1.5,2.143,1.357,2.571,7.1,1920,1080,30,The video has moderate exposure on the top left corner of the video frame during the entire of the time and has slight shake during the entire of the time.
C_26.mp4,1.571,1.929,1.357,2.929,6.6,1920,1080,30,The video has moderate exposure on the top right corner of the video frame during the first half of the time and has slight shake during the entire of the time.
C_28.mp4,1.429,1.786,1.429,2.214,7.2,1920,1080,30,The video has slight exposure on the top right corner of the video frame during the entire of the time and has slight shake during the entire of the time.
C_29.mp4,1.786,1.714,1.643,1.643,7.925,1920,1080,30,The video has without deformation on the whole of the video frame during the entire of the time and has without blur during the entire of the time.
C_3.mp4,3.357,3,2.571,3,2.525,2560,1440,30,The video has serious deformation on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
C_33.mp4,3.929,2.929,3.214,2.071,2.833333333,2560,1440,60,The video has serious deformation on the whole of the video frame during the entire of the time and has serious blur during the entire of the time.
C_34.mp4,1.429,1.571,1.714,3,6.05,1920,1080,30,The video has moderate exposure on the top left corner of the video frame during the entire of the time and has slight blur during the entire of the time.
C_35.mp4,1.714,1.786,1.286,2.286,6.44,1920,1080,30,The video has slight exposure on the top of the video frame during the latter half of the time and has slight shake during the first half of the time.
C_37.mp4,2.571,4.857,2.286,2.571,2.057142857,3840,2160,60,The video has slight exposure on the top of the video frame during the latter half of the time and has extreme shake during the latter half of the time.
C_38.mp4,1.786,4.214,2.786,2,2.92,3840,2160,60,The video has moderate blur on the whole of the video frame during the first half of the time and has serious shake during the first half of the time.
C_4.mp4,2.929,4.786,2.214,1.286,3.7,1280,720,30,The video has moderate deformation on the both sides of the video frame during the entire of the time and has extreme shake during the entire of the time.
C_42.mp4,2,1.929,1.5,1.929,7.128571429,720,1280,30,The video has slight deformation on the both sides of the video frame during the first half of the time and has slight exposure during the entire of the time.
C_44.mp4,1.643,2.429,1.5,1.357,5.766666667,1920,1080,30,The video has without deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
C_45.mp4,3.857,3,2,2.357,3.42,1080,1920,30,The video has serious deformation on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
C_46.mp4,2.357,3.071,1.857,1.5,4.38,1080,1920,30,The video has slight deformation on the both sides of the video frame during the entire of the time and has serious shake during the entire of the time.
C_47.mp4,4.286,4.429,4,3.857,1.55,1280,720,60,The video has serious deformation on the whole of the video frame during the entire of the time and has serious shake during the first half of the time.
C_48.mp4,2.786,3.786,3.5,2.786,1.816666667,1280,720,60,The video has serious shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
C_49.mp4,2.571,2.714,1.214,1.643,5.98,1920,1080,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
C_5.mp4,2.071,4.786,1.786,2.5,3.55,1920,1080,30,The video has moderate exposure on the top of the video frame during the entire of the time and has serious shake during the entire of the time.
C_50.mp4,1.286,1.143,1.071,1.571,8.875,1920,1080,30,The video has without deformation on the whole of the video frame during the entire of the time and has without blur during the entire of the time.
C_51.mp4,2.929,4.071,3.5,2.143,2.65,1920,1080,30,The video has extreme blur on the whole of the video frame during the entire of the time and has serious shake during the entire of the time.
C_52.mp4,1.429,3,1.571,3.857,4.1,1920,1080,30,The video has serious exposure on the right side of the video frame during the entire of the time and has moderate shake during the entire of the time.
C_53.mp4,1.643,2.429,2,1.286,6.566666667,1920,1080,30,The video has slight blur on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
C_54.mp4,1.571,3.5,1.643,1.143,4.8,1920,1080,30,The video has slight deformation on the right side of the video frame during the entire of the time and has moderate shake during the entire of the time.
C_57.mp4,1.786,2.571,1.357,1.214,6.575,1920,1080,60,The video has slight deformation on the whole of the video frame during the latter half of the time and has slight shake during the entire of the time.
C_58.mp4,1.857,2.071,2.071,1.786,5.983333333,1920,1080,30,The video has slight blur on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
C_6.mp4,3.429,3.143,1.929,1.214,4.08,1280,720,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
C_7.mp4,1.786,3.857,3.643,3.214,2.32,1920,1080,30,The video has serious blur on the whole of the video frame during the entire of the time and has serious shake during the entire of the time.
C_8.mp4,1.786,3.857,3,2.714,2.44,1920,1080,30,The video has serious blur on the whole of the video frame during the entire of the time and has serious shake during the latter half of the time.
C_9.mp4,1.786,4.5,2.357,2.357,3.38,1920,1080,30,The video has moderate blur on the whole of the video frame during the entire of the time and has serious shake during the latter half of the time.
D_10.mp4,2.571,3.571,2.714,2.357,3.385714286,1920,1080,30,The video has serious shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
D_101.mp4,1.429,2.643,2.429,1.643,5.04,1280,720,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
D_102.mp4,1.643,2.214,3.643,1.214,3.633333333,1280,720,60,The video has slight shake on the whole of the video frame during the entire of the time and has serious blur during the entire of the time.
D_103.mp4,1.214,2.5,2.643,1.143,5.025,1280,720,60,The video has slight shake on the whole of the video frame during the latter half of the time and has moderate blur during the entire of the time.
D_105.mp4,2.286,3.5,3.643,1.857,3.06,1920,1080,30,The video has moderate shake on the whole of the video frame during the entire of the time and has serious blur during the latter half of the time.
D_107.mp4,1.643,1.571,1.429,1,7.4,1280,720,60,The video has slight deformation on the whole of the video frame during the latter half of the time and has without exposure during the entire of the time.
D_108.mp4,1.786,1.643,2.214,1.143,5.933333333,2560,1440,60,The video has slight deformation on the both sides of the video frame during the entire of the time and has slight blur during the entire of the time.
D_109.mp4,1.786,2.429,2.357,2,4.44,1280,720,30,The video has moderate shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
D_11.mp4,2.071,2.643,2,1.286,5.5,1280,720,30,The video has moderate deformation on the whole of the video frame during the first half of the time and has slight blur during the entire of the time.
D_110.mp4,1.286,1.5,1.786,1.143,7.242857143,1280,720,60,The video has slight blur on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
D_111.mp4,2.571,2.286,2.214,1.714,4.571428571,1280,720,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
D_112.mp4,1.5,2.714,2.5,1.357,4.733333333,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
D_113.mp4,1.643,3.143,2.571,1.286,5.14,1920,1080,30,The video has moderate shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
D_114.mp4,1.643,2.929,2.857,1.429,4.833333333,1920,1080,30,The video has moderate shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
D_116.mp4,1.643,3.214,2.643,1.714,4.55,1920,1080,30,The video has moderate shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
D_117.mp4,2.214,3.357,3.5,2.286,3.114285714,1920,1080,30,The video has serious shake on the whole of the video frame during the entire of the time and has serious blur during the entire of the time.
D_119.mp4,1.643,2.643,2.143,1.429,5.883333333,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
D_12.mp4,2.5,2.786,2.571,2.286,4.625,1920,1080,30,The video has slight deformation on the both sides of the video frame during the entire of the time and has moderate shake during the entire of the time.
D_120.mp4,1.571,2.571,2.214,1.643,6.05,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
D_121.mp4,1.429,1.714,2.571,1.929,5.675,1920,1080,30,The video has slight exposure on the top of the video frame during the entire of the time and has moderate blur during the entire of the time.
D_123.mp4,1.714,2.571,3.143,1.714,3.9625,1920,1080,30,The video has serious blur on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
D_124.mp4,1.571,1.643,1.071,1.071,7.9,2560,1440,60,The video has without deformation on the whole of the video frame during the entire of the time and has slight shake during the first half of the time.
D_125.mp4,1.214,1.643,1.214,1,7.72,2560,1440,60,The video has without deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
D_126.mp4,2,1.857,2.571,1.143,5.95,1920,1080,30,The video has moderate blur on the bottom of the video frame during the entire of the time and has slight deformation during the first half of the time.
D_127.mp4,1.643,3.429,3.571,1.929,3.54,1280,720,30,The video has serious blur on the whole of the video frame during the entire of the time and has serious shake during the entire of the time.
D_128.mp4,1.571,2.5,2.786,1.643,4.725,1920,1080,30,The video has moderate blur on the bottom of the video frame during the entire of the time and has slight shake during the entire of the time.
D_129.mp4,1.571,2.714,2.857,1.643,4.4,1920,1080,30,The video has moderate blur on the bottom of the video frame during the entire of the time and has moderate shake during the entire of the time.
D_13.mp4,1.857,1.714,2.429,2.071,5.425,1280,720,30,The video has slight exposure on the top of the video frame during the entire of the time and has moderate blur during the entire of the time.
D_130.mp4,1.5,2.286,2.786,2.429,4.3,1920,1080,30,The video has moderate blur on the bottom of the video frame during the entire of the time and has slight shake during the entire of the time.
D_131.mp4,1.357,2.857,2.571,1.429,4.94,1920,1080,30,The video has moderate blur on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
D_134.mp4,1.357,2.714,2.286,1.571,5.566666667,1920,1080,30,The video has moderate shake on the whole of the video frame during the first half of the time and has slight blur during the entire of the time.
D_135.mp4,1.214,1.786,1.357,1.143,8.3,1280,720,30,The video has without deformation on the whole of the video frame during the entire of the time and has without blur during the entire of the time.
D_136.mp4,1.5,1.357,2.214,1.786,6.257142857,1280,720,30,The video has slight blur on the whole of the video frame during the entire of the time and has slight shake during the first half of the time.
D_137.mp4,1.5,2.071,1.571,1.143,7.125,1280,720,30,The video has slight shake on the whole of the video frame during the entire of the time and has without deformation during the entire of the time.
D_138.mp4,1.286,1.643,2.214,1.857,5.966666667,1280,720,30,The video has slight blur on the whole of the video frame during the entire of the time and has without deformation during the entire of the time.
D_139.mp4,1.643,1.714,2.357,2,6.533333333,1920,1080,60,The video has slight deformation on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
D_14.mp4,1.857,3.714,2.643,2.786,2.6,1920,1080,30,The video has moderate exposure on the bottom of the video frame during the first half of the time and has serious shake during the entire of the time.
D_141.mp4,1.143,1.786,1.429,2.5,6.8,1280,720,30,The video has moderate exposure on the top left corner of the video frame during the entire of the time and has slight shake during the entire of the time.
D_142.mp4,1.643,1.714,1.286,1.5,6.975,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has without deformation during the entire of the time.
D_143.mp4,2.214,2.857,3.357,1.286,3.22,1280,720,30,The video has slight shake on the whole of the video frame during the latter half of the time and has serious blur during the entire of the time.
D_144.mp4,1.929,2.786,2.929,1.714,3.666666667,1280,720,30,The video has moderate shake on the whole of the video frame during the entire of the time and has serious blur during the entire of the time.
D_145.mp4,4.286,1.571,1.143,1.143,4.74,720,1280,30,The video has serious deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
D_147.mp4,2.571,1.714,1.214,2.857,6.04,1920,1080,30,The video has moderate exposure on the top right corner of the video frame during the latter half of the time and has moderate deformation during the entire of the time.
D_15.mp4,2.643,1.857,2.929,2.143,5.08,2560,1440,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
D_151.mp4,1.929,1.286,1.857,2.643,5.057142857,1920,1080,30,The video has moderate exposure on the top of the video frame during the entire of the time and has slight deformation during the entire of the time.
D_152.mp4,2.214,3,3.714,2.643,2.88,1280,720,30,The video has moderate shake on the whole of the video frame during the latter half of the time and has moderate blur during the entire of the time.
D_154.mp4,1.929,1.429,1.071,1,7.04,1920,1080,30,The video has slight deformation on the whole of the video frame during the entire of the time and has without exposure during the entire of the time.
D_155.mp4,2.143,1.143,1.286,2.214,5.825,1920,1080,30,The video has slight exposure on the top left corner of the video frame during the entire of the time and has moderate deformation during the latter half of the time.
D_156.mp4,2.357,1.429,1.071,1.143,6.566666667,1920,1080,30,The video has moderate deformation on the right side of the video frame during the entire of the time and has slight shake during the entire of the time.
D_157.mp4,1.929,1.786,1.357,3.429,5.042857143,1920,1080,30,The video has serious exposure on the middle of the video frame during the entire of the time and has slight deformation during the latter half of the time.
D_158.mp4,1.929,2.571,4.571,3.786,1.3,1280,720,30,The video has serious exposure on the top of the video frame during the entire of the time and has extreme blur during the entire of the time.
D_16.mp4,2.429,1.786,1.857,2.857,4.7,1280,720,30,The video has serious exposure on the middle of the video frame during the entire of the time and has moderate deformation during the entire of the time.
D_160.mp4,1.786,3.357,3.857,1.571,2.04,1280,720,30,The video has moderate shake on the whole of the video frame during the entire of the time and has serious blur during the entire of the time.
D_161.mp4,2.857,1.429,1.214,2.357,4.84,1920,1080,30,The video has moderate deformation on the both sides of the video frame during the entire of the time and has moderate exposure during the entire of the time.
D_162.mp4,3.071,1.571,1.286,2.714,5.1,1920,1080,30,The video has moderate deformation on the both sides of the video frame during the entire of the time and has moderate exposure during the entire of the time.
D_163.mp4,3.286,1.714,1.286,2.643,5.125,1920,1080,30,The video has moderate deformation on the both sides of the video frame during the entire of the time and has moderate exposure during the entire of the time.
D_164.mp4,2.786,1.714,1.214,1.929,4.966666667,1920,1080,30,The video has moderate deformation on the both sides of the video frame during the entire of the time and has slight exposure during the entire of the time.
D_165.mp4,2.286,1.643,1.429,1.5,6.333333333,1920,1080,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
D_166.mp4,2.571,1.429,1.286,1.143,6.033333333,1920,1080,30,The video has slight deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
D_167.mp4,2.214,1.571,1.5,1.429,5.85,1920,1080,30,The video has slight deformation on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
D_168.mp4,2.071,1.5,1.429,1.357,6.55,1920,1080,30,The video has slight deformation on the both sides of the video frame during the entire of the time and has slight blur during the entire of the time.
D_169.mp4,2.214,1.5,1.429,1.214,7,1920,1080,30,The video has slight deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
D_17.mp4,2,3.714,2.786,2.143,4.171428571,1280,720,30,The video has moderate shake on the whole of the video frame during the entire of the time and has moderate blur during the entire of the time.
D_170.mp4,1.714,1.786,1.929,1.357,5.166666667,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
D_171.mp4,1.643,3.929,2.857,1.714,3.166666667,1920,1080,30,The video has serious shake on the whole of the video frame during the entire of the time and has serious blur during the entire of the time.
D_173.mp4,3.214,1.714,1.571,1.643,4.716666667,1920,1080,30,The video has moderate deformation on the whole of the video frame during the entire of the time and has moderate shake during the entire of the time.
D_174.mp4,1.643,2,1.429,1.214,6.825,1920,1080,30,The video has without deformation on the whole of the video frame during the entire of the time and has slight shake during the entire of the time.
D_175.mp4,1.357,2.429,1.929,2.643,5.066666667,1920,1080,30,The video has moderate exposure on the top of the video frame during the entire of the time and has moderate shake during the entire of the time.
D_176.mp4,1.929,1.571,2.214,1.214,5.975,1920,1080,30,The video has slight deformation on the both sides of the video frame during the entire of the time and has slight blur during the entire of the time.
D_177.mp4,1.5,2,2.143,1.357,6.02,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
D_178.mp4,2.286,1.214,1.571,1.714,6.085714286,1920,1080,30,The video has slight deformation on the both sides of the video frame during the entire of the time and has slight blur during the entire of the time.
D_179.mp4,3.143,1.071,1.643,2.071,5.816666667,1920,1080,30,The video has moderate deformation on the left side of the video frame during the entire of the time and has slight exposure during the entire of the time.
D_18.mp4,2.214,2.286,2.571,1.357,5.225,1920,1080,30,The video has slight shake on the whole of the video frame during the entire of the time and has slight blur during the entire of the time.
